site_id,date,newt_count,latitude_pipe,longitude_pipe
15,10/2/23,1,35.93328094,-83.8769145
15,10/2/23,1,35.93334913,-83.87689981
2,10/17/23,0,35.93576427,-83.93990865
2,10/17/23,0,35.93570132,-83.93983187
2,10/17/23,0,35.93578569,-83.9397152
2,10/17/23,0,35.93574156,-83.9398167
2,10/17/23,0,35.9356406,-83.93976021
2,10/17/23,0,35.93581699,-83.93978661
2,10/17/23,0,35.93562542,-83.94007143
2,10/17/23,0,35.93562895,-83.94006372
2,10/17/23,0,35.93580953,-83.93991938
2,10/17/23,0,35.93569122,-83.93987537
2,10/17/23,0,35.93582093,-83.93995224
2,10/17/23,0,35.93573954,-83.93999825
15,10/25/23,0,35.93340729,-83.87661195
15,10/25/23,0,35.93338205,-83.87658429
15,10/25/23,0,35.93337113,-83.87671549
15,10/25/23,1,35.93337675,-83.87670335
15,10/25/23,1,35.93343161,-83.87667484
15,10/25/23,0,35.93335979,-83.87668613
15,10/25/23,0,35.93331546,-83.87680675
15,10/25/23,0,35.93334211,-83.87675269
15,10/25/23,2,35.93336319,-83.87683064
15,10/25/23,0,35.93332971,-83.87681396
15,10/25/23,0,35.93335493,-83.87684849
15,10/25/23,0,35.93333968,-83.8768588
15,10/25/23,0,35.93332814,-83.87685944
15,10/25/23,0,35.93335075,-83.87695444
15,10/25/23,3,35.93334059,-83.87683441
15,10/25/23,0,35.93336401,-83.8768505
7,11/8/23,0,35.95672438,-83.86823685
7,11/8/23,0,35.95670692,-83.8682976
7,11/8/23,0,35.95682737,-83.86826036
7,11/8/23,0,35.95672548,-83.8679946
7,11/8/23,0,35.95678893,-83.86824438
7,11/8/23,0,35.95683654,-83.86824656
7,11/8/23,0,35.95670523,-83.86832685
7,11/8/23,0,35.9566874,-83.8683705
7,11/8/23,0,35.95675627,-83.86817327
7,11/8/23,0,35.95663182,-83.86811421
7,11/8/23,0,35.95677267,-83.86816702
7,11/8/23,0,35.95665013,-83.86819485
7,11/8/23,0,35.95672674,-83.86820348
15,2/14/24,1,35.93339018,-83.87703591
15,2/14/24,2,35.93325511,-83.87688336
15,2/14/24,0,35.93327376,-83.87682938
15,2/14/24,0,35.93305696,-83.87727094
15,2/14/24,2,35.93325263,-83.87736549
15,2/14/24,0,35.93343381,-83.8775835
15,2/14/24,0,35.93338042,-83.87743112
15,2/14/24,0,35.93312598,-83.87717991
15,2/14/24,0,35.93339612,-83.87716533
15,2/14/24,1,35.93324023,-83.8770106
15,2/14/24,1,35.93343197,-83.87712535
15,2/14/24,1,35.93314987,-83.87722601
15,2/14/24,0,35.93329106,-83.87692091
15,2/14/24,0,35.93353632,-83.87672159
15,2/14/24,1,35.93336277,-83.87676023
15,2/14/24,0,35.93341315,-83.87672153
15,2/14/24,1,35.93346641,-83.87662604
15,2/14/24,1,35.93332525,-83.87668516
15,2/14/24,0,35.9333388,-83.87665126
15,2/14/24,0,35.93336575,-83.87674841
15,2/14/24,0,35.93330448,-83.87674053
15,2/14/24,2,35.93328105,-83.87676199
15,2/14/24,0,35.93324719,-83.87669058
15,2/14/24,1,35.9332365,-83.8768158
15,2/14/24,1,35.93325117,-83.87709768
15,2/14/24,1,35.93318227,-83.8770629
15,2/14/24,0,35.93355937,-83.87703021
15,2/14/24,1,35.93334056,-83.87687464
15,2/14/24,1,35.9331435,-83.87721453
15,2/14/24,0,35.93307812,-83.87736423
15,2/14/24,2,35.93315754,-83.87735141
15,2/14/24,0,35.93312527,-83.87720816
7,2/21/24,1,35.95680662,-83.86823718
7,2/21/24,0,35.95675863,-83.86826777
7,2/21/24,0,35.95676525,-83.86832217
7,2/21/24,1,35.95671056,-83.86833425
7,2/21/24,0,35.95670455,-83.86831715
7,2/21/24,2,35.95672068,-83.86834804
7,2/21/24,0,35.95671383,-83.86822871
7,2/21/24,0,35.95678615,-83.86812383
7,2/21/24,1,35.95672536,-83.86813559
7,2/21/24,0,35.95673026,-83.86821697
7,2/21/24,0,35.95675805,-83.86819636
7,2/21/24,0,35.95672091,-83.86836508
7,4/1/24,0,35.95657339,-83.86820875
7,4/1/24,0,35.95663409,-83.86830469
7,4/1/24,0,35.95673465,-83.86834866
7,4/1/24,0,35.95667306,-83.86833088
7,4/1/24,0,35.95657903,-83.86827782
7,4/1/24,0,35.95671196,-83.86834225
7,4/1/24,0,35.95673013,-83.86827941
7,4/1/24,0,35.95672831,-83.86818009
7,4/1/24,0,35.95676684,-83.86828417
7,4/1/24,1,35.95682933,-83.86811555
7,4/1/24,0,35.95673867,-83.86807742
7,4/1/24,1,35.956703,-83.86831293
7,4/1/24,0,35.95680218,-83.86822301
7,4/1/24,2,35.9566453,-83.86821276
7,4/1/24,0,35.95673483,-83.86813827
7,4/1/24,1,35.95679159,-83.86814801
15,4/3/24,0,35.93333288,-83.87663773
15,4/3/24,1,35.93329779,-83.8766477
15,4/3/24,0,35.93330044,-83.87667291
15,4/3/24,0,35.93323467,-83.87681102
15,4/3/24,0,35.93320074,-83.87686236
15,4/3/24,0,35.93321958,-83.87691619
15,4/3/24,0,35.93317669,-83.87697555
15,4/3/24,2,35.9332144,-83.87707052
15,4/3/24,1,35.93320674,-83.87716781
15,4/3/24,0,35.93323021,-83.8774362
15,4/3/24,0,35.93328012,-83.8774916
15,4/3/24,1,35.93339414,-83.87744677
15,4/3/24,0,35.933387,-83.87749987
15,4/3/24,1,35.93346676,-83.87759323
15,4/3/24,1,35.93343885,-83.87748459
15,4/3/24,0,35.93334165,-83.87723096
15,4/3/24,1,35.93328248,-83.8770089
15,4/3/24,0,35.93338722,-83.87707603
15,4/3/24,0,35.93337157,-83.87700851
15,4/3/24,0,35.93336931,-83.8769619
15,4/3/24,0,35.93341138,-83.87693577
15,4/3/24,2,35.93341612,-83.87688126
15,4/3/24,1,35.93339935,-83.87684432
15,4/3/24,0,35.93345639,-83.87682194
15,4/3/24,0,35.93354625,-83.87660961
15,4/3/24,0,35.9334743,-83.8765842
15,4/3/24,0,35.9334063,-83.87669697
15,4/3/24,0,35.93329657,-83.87722124
15,4/3/24,0,35.93328972,-83.87729499
15,4/3/24,0,35.9332863,-83.87724321
15,4/3/24,0,35.93329417,-83.87734554
15,4/3/24,0,35.93334778,-83.87741382
15,4/3/24,0,35.93339009,-83.87752628
15,4/3/24,0,35.93338522,-83.8774475
15,4/3/24,2,35.93316969,-83.87733936
15,4/3/24,1,35.9331745,-83.87735398
15,4/3/24,0,35.9331425,-83.87731972
15,4/3/24,0,35.93314225,-83.87726107
15,5/23/24,1,35.93593282,-83.9394491
15,5/23/24,0,35.93588833,-83.93942647
